J.Segura (5.7), 2016`Arizona Diamondbacks
F.Freeman (6.5), 2016`Atlanta Braves
M.Machado (6.7), 2016`Baltimore Orioles
M.Betts (9.6), 2016`Boston Red Sox
K.Bryant (7.7), 2016`Chicago Cubs
A.Eaton (6.2), 2016`Chicago White Sox
J.Votto (4.0), 2016`Cincinnati Reds
C.Kluber (6.5), 2016`Cleveland Indians
N.Arenado (6.5), 2016`Colorado Rockies
J.Verlander (6.6), 2016`Detroit Tigers
J.Altuve (7.7), 2016`Houston Astros
D.Duffy (4.2), 2016`Kansas City Royals
M.Trout (10.6), 2016`Los Angeles Angels of Anaheim
C.Seager (6.1), 2016`Los Angeles Dodgers
C.Yelich (5.3), 2016`Miami Marlins
R.Braun (4.4), 2016`Milwaukee Brewers
B.Dozier (6.5), 2016`Minnesota Twins
N.Syndergaard (6.0), 2016`New York Mets
M.Tanaka (5.4), 2016`New York Yankees
K.Graveman (3.2), 2016`Oakland Athletics
O.Herrera (4.2), 2016`Philadelphia Phillies
S.Marte (4.9), 2016`Pittsburgh Pirates
D.Pomeranz (3.4), 2016`San Diego Padres
M.Bumgarner (5.9), 2016`San Francisco Giants
R.Cano (7.3), 2016`Seattle Mariners
C.Martinez (5.9), 2016`St. Louis Cardinals
K.Kiermaier (5.5), 2016`Tampa Bay Rays
A.Beltre (6.4), 2016`Texas Rangers
J.Donaldson (7.4), 2016`Toronto Blue Jays
M.Scherzer (6.3), 2016`Washington Nationals
P.Goldschmidt (8.8), 2015`Arizona Diamondbacks
A.Simmons (4.0), 2015`Atlanta Braves
M.Machado (7.1), 2015`Baltimore Orioles
M.Betts (6.0), 2015`Boston Red Sox
J.Arrieta (9.0), 2015`Chicago Cubs
A.Eaton (3.9), 2015`Chicago White Sox
J.Votto (7.6), 2015`Cincinnati Reds
F.Lindor (4.6), 2015`Cleveland Indians
N.Arenado (5.8), 2015`Colorado Rockies
I.Kinsler (6.0), 2015`Detroit Tigers
D.Keuchel (7.2), 2015`Houston Astros
L.Cain (7.2), 2015`Kansas City Royals
M.Trout (9.4), 2015`Los Angeles Angels of Anaheim
Z.Greinke (9.9), 2015`Los Angeles Dodgers
D.Gordon (4.9), 2015`Miami Marlins
R.Braun (3.8), 2015`Milwaukee Brewers
K.Gibson (3.2), 2015`Minnesota Twins
C.Granderson (5.1), 2015`New York Mets
M.Teixeira (3.8), 2015`New York Yankees
S.Gray (5.8), 2015`Oakland Athletics
O.Herrera (3.8), 2015`Philadelphia Phillies
S.Marte (5.4), 2015`Pittsburgh Pirates
J.Upton (4.4), 2015`San Diego Padres
B.Posey (6.1), 2015`San Francisco Giants
N.Cruz (5.2), 2015`Seattle Mariners
J.Heyward (6.5), 2015`St. Louis Cardinals
K.Kiermaier (7.3), 2015`Tampa Bay Rays
A.Beltre (5.8), 2015`Texas Rangers
J.Donaldson (8.8), 2015`Toronto Blue Jays
B.Harper (9.9), 2015`Washington Nationals
P.Goldschmidt (4.5), 2014`Arizona Diamondbacks
J.Heyward (6.2), 2014`Atlanta Braves
S.Pearce (5.9), 2014`Baltimore Orioles
D.Pedroia (4.9), 2014`Boston Red Sox
J.Arrieta (5.6), 2014`Chicago Cubs
C.Sale (6.6), 2014`Chicago White Sox
J.Cueto (6.4), 2014`Cincinnati Reds
C.Kluber (7.4), 2014`Cleveland Indians
T.Tulowitzki (5.5), 2014`Colorado Rockies
M.Scherzer (6.0), 2014`Detroit Tigers
J.Altuve (6.1), 2014`Houston Astros
A.Gordon (6.6), 2014`Kansas City Royals
M.Trout (7.9), 2014`Los Angeles Angels of Anaheim
C.Kershaw (8.0), 2014`Los Angeles Dodgers
G.Stanton (6.5), 2014`Miami Marlins
J.Lucroy (6.7), 2014`Milwaukee Brewers
B.Dozier (5.2), 2014`Minnesota Twins
J.Lagares (5.5), 2014`New York Mets
B.Gardner (4.0), 2014`New York Yankees
J.Donaldson (7.3), 2014`Oakland Athletics
C.Hamels (6.8), 2014`Philadelphia Phillies
A.McCutchen (6.3), 2014`Pittsburgh Pirates
S.Smith (4.0), 2014`San Diego Padres
M.Bumgarner (5.3), 2014`San Francisco Giants
F.Hernandez (6.7), 2014`Seattle Mariners
A.Wainwright (6.4), 2014`St. Louis Cardinals
B.Zobrist (4.9), 2014`Tampa Bay Rays
A.Beltre (7.0), 2014`Texas Rangers
J.Bautista (6.1), 2014`Toronto Blue Jays
A.Rendon (6.6), 2014`Washington Nationals
P.Goldschmidt (7.1), 2013`Arizona Diamondbacks
A.Simmons (7.0), 2013`Atlanta Braves
M.Machado (6.7), 2013`Baltimore Orioles
D.Pedroia (6.3), 2013`Boston Red Sox
T.Wood (5.2), 2013`Chicago Cubs
C.Sale (7.0), 2013`Chicago White Sox
J.Votto (6.6), 2013`Cincinnati Reds
J.Kipnis (5.7), 2013`Cleveland Indians
J.Chacin (6.1), 2013`Colorado Rockies
M.Cabrera (7.3), 2013`Detroit Tigers
J.Castro (4.5), 2013`Houston Astros
A.Gordon (4.2), 2013`Kansas City Royals
M.Trout (9.3), 2013`Los Angeles Angels of Anaheim
C.Kershaw (8.4), 2013`Los Angeles Dodgers
J.Fernandez (6.7), 2013`Miami Marlins
C.Gomez (8.5), 2013`Milwaukee Brewers
J.Mauer (5.3), 2013`Minnesota Twins
D.Wright (5.9), 2013`New York Mets
R.Cano (7.8), 2013`New York Yankees
J.Donaldson (7.7), 2013`Oakland Athletics
C.Lee (7.6), 2013`Philadelphia Phillies
A.McCutchen (8.1), 2013`Pittsburgh Pirates
C.Denorfia (4.3), 2013`San Diego Padres
B.Posey (4.9), 2013`San Francisco Giants
H.Iwakuma (6.9), 2013`Seattle Mariners
A.Wainwright (6.4), 2013`St. Louis Cardinals
E.Longoria (6.2), 2013`Tampa Bay Rays
Y.Darvish (5.7), 2013`Texas Rangers
C.Rasmus (4.8), 2013`Toronto Blue Jays
J.Werth (4.7), 2013`Washington Nationals
A.Hill (5.0), 2012`Arizona Diamondbacks
M.Bourn (6.1), 2012`Atlanta Braves
A.Jones (3.8), 2012`Baltimore Orioles
D.Pedroia (5.1), 2012`Boston Red Sox
D.Barney (4.6), 2012`Chicago Cubs
C.Sale (5.9), 2012`Chicago White Sox
J.Votto (5.9), 2012`Cincinnati Reds
